,Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek,UserName,DB
92,2016-08-05,10,614,0.14,0.01,0.0,00 to 01,0.005833333333333333,0.00503610155185335,Friday,AkashSahu,DB03 
93,2016-09-05,10,614,0.14,0.01,0.0,00 to 01,0.005833333333333333,0.00503610155185335,Monday,AkashSahu,DB03 
94,2016-10-05,10,614,0.14,0.01,0.0,00 to 01,0.005833333333333333,0.00503610155185335,Wednesday,AkashSahu,DB03 
95,2016-11-05,10,614,0.14,0.01,0.0,00 to 01,0.005833333333333333,0.00503610155185335,Saturday,AkashSahu,DB03 
96,2017-03-20,23,614,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.002041241452319316,Monday,AkashSahu,DB03 
97,2017-03-21,20,614,0.04,0.01,0.0,14 to 15,0.0016666666666666668,0.003806934938134405,Tuesday,AkashSahu,DB03 
98,2017-03-22,23,614,0.01,0.01,0.0,03 to 04,0.0004166666666666667,0.002041241452319315,Wednesday,AkashSahu,DB03 
99,2017-11-09,23,614,0.01,0.01,0.0,20 to 21,0.0004166666666666667,0.002041241452319316,Thursday,AkashSahu,DB03 
100,2017-12-09,23,614,0.01,0.01,0.0,01 to 02,0.0004166666666666667,0.002041241452319315,Saturday,AkashSahu,DB03 
101,2017-09-14,19,614,0.05,0.01,0.0,14 to 15,0.0020833333333333333,0.004148511169990534,Thursday,AkashSahu,DB03 
102,2017-09-15,19,614,0.05,0.01,0.0,02 to 03,0.0020833333333333333,0.0041485111699905335,Friday,AkashSahu,DB03 
103,2017-09-16,22,614,0.02,0.01,0.0,16 to 17,0.0008333333333333334,0.0028232985128663988,Saturday,AkashSahu,DB03 
104,2017-09-17,19,614,0.05,0.01,0.0,01 to 02,0.0020833333333333333,0.004148511169990534,Sunday,AkashSahu,DB03 
105,2017-09-18,22,614,0.02,0.01,0.0,01 to 02,0.0008333333333333334,0.0028232985128663988,Monday,AkashSahu,DB03 
106,2017-09-20,21,614,0.03,0.01,0.0,02 to 03,0.00125,0.0033783196234608817,Wednesday,AkashSahu,DB03 
107,2017-09-22,15,614,0.09,0.01,0.0,00 to 01,0.00375,0.004945353550468404,Friday,AkashSahu,DB03 
108,2017-09-23,11,614,0.13,0.01,0.0,00 to 01,0.005416666666666666,0.005089773777040516,Saturday,AkashSahu,DB03 
109,2017-09-24,13,614,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Sunday,AkashSahu,DB03 
110,2017-09-25,10,614,0.14,0.01,0.0,00 to 01,0.005833333333333333,0.00503610155185335,Monday,AkashSahu,DB03 
111,2017-09-26,12,614,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday,AkashSahu,DB03 
112,2017-09-27,10,614,0.14,0.01,0.0,00 to 01,0.005833333333333333,0.00503610155185335,Wednesday,AkashSahu,DB03 
113,2017-09-28,20,614,0.04,0.01,0.0,00 to 01,0.0016666666666666668,0.003806934938134403,Thursday,AkashSahu,DB03 
114,2017-09-30,15,614,0.09,0.01,0.0,15 to 16,0.00375,0.004945353550468404,Saturday,AkashSahu,DB03 
115,2017-01-10,13,614,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Tuesday,AkashSahu,DB03 
