,DB,Date,UnitsConsumed
267,DB01 ,5/31/2017,0.56
268,DB01 ,6/1/2017,0.44
269,DB01 ,6/2/2017,0.85
270,DB01 ,6/3/2017,1.91
271,DB01 ,6/4/2017,1.28
272,DB01 ,6/5/2017,0.54
273,DB01 ,6/6/2017,0.4
274,DB01 ,6/7/2017,0.09
275,DB01 ,6/9/2017,0.2
276,DB01 ,6/10/2017,0.2
277,DB01 ,6/11/2017,0.04
278,DB01 ,6/13/2017,0.13
279,DB01 ,6/14/2017,0.09
280,DB01 ,6/15/2017,0.12
281,DB01 ,6/16/2017,0.13
282,DB01 ,6/17/2017,0.17
283,DB01 ,6/18/2017,0.05
284,DB01 ,6/28/2017,0.06
285,DB01 ,6/29/2017,0.08
286,DB01 ,6/30/2017,0.1
287,DB01 ,7/1/2017,0.77
288,DB01 ,7/2/2017,0.79
289,DB01 ,7/3/2017,0.74
290,DB01 ,7/4/2017,1.28
291,DB01 ,7/5/2017,0.64
292,DB01 ,7/6/2017,0.31
293,DB01 ,7/7/2017,0.07
294,DB01 ,7/9/2017,0.22
295,DB01 ,7/10/2017,0.05
296,DB01 ,7/11/2017,0.06
297,DB01 ,8/1/2017,0.73
298,DB01 ,8/2/2017,0.75
299,DB01 ,8/4/2017,1.04
300,DB01 ,8/5/2017,0.46
301,DB01 ,8/6/2017,0.35
302,DB01 ,8/7/2017,0.11
303,DB01 ,8/9/2017,0.21
304,DB01 ,8/11/2017,0.13
305,DB01 ,9/1/2017,0.86
306,DB01 ,9/2/2017,0.88
307,DB01 ,9/4/2017,0.51
308,DB01 ,9/5/2017,0.14
309,DB01 ,9/6/2017,0.31
310,DB01 ,9/7/2017,0.07
311,DB01 ,9/9/2017,0.2
312,DB01 ,9/11/2017,0.21
313,DB01 ,9/14/2017,0.09
314,DB01 ,9/15/2017,0.13
315,DB01 ,9/16/2017,0.15
316,DB01 ,9/17/2017,0.14
317,DB01 ,9/18/2017,0.07
318,DB01 ,9/20/2017,0.15
319,DB01 ,9/22/2017,0.18
320,DB01 ,9/23/2017,0.2
321,DB01 ,9/24/2017,0.15
322,DB01 ,9/25/2017,0.18
323,DB01 ,9/26/2017,0.15
324,DB01 ,9/27/2017,0.2
325,DB01 ,9/28/2017,0.22
326,DB01 ,9/29/2017,0.19
327,DB01 ,9/30/2017,0.14
328,DB01 ,10/1/2017,0.39
329,DB01 ,10/2/2017,0.91
330,DB01 ,10/4/2017,1.02
